Name,Description,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Combined
The Blue Lagoon,"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,victorian period children shipwreck tropical island south pacific adults guide make simple life together unaware sexual maturity eventually intervene base novel
The Best of the Blues Brothers,Dan Aykroyd and friends tell the story of the famous Saturday Night Live recurring musical characters.,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,dan aykroyd friends tell story famous saturday night live recur musical character actor play multiple roles independent film
Star Wars: Episode IX - The Rise of Skywalker,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come.",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,rivet conclusion landmark skywalker saga new legends bear final battle freedom come evil quicksand space opera star war disney star war
Star Trek: The Motion Picture,"When an alien spacecraft of enormous power is spotted approaching Earth, Admiral James T. Kirk resumes command of the overhauled USS Enterprise in order to intercept it.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,alien spacecraft enormous power spot approach earth admiral jam kirk resume command overhaul uss enterprise order intercept alien voyager spacecraft transporter malfunction u enterprise starship
My Brilliant Career,A proud young woman in early 20th century Australia must choose between marriage and independence.,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,proud young woman early th century australia must choose marriage independence brush hair feminist film independent woman feminist rebellious woman
The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,victorian surgeon rescue heavily disfigure man mistreat scrap live side show freak behind monstrous facade reveal person kindness intelligence sophistication dignity disability human exploitation hospital psychological torture
The Ninth Configuration,A former marine arrives at a mental asylum housed in a remote castle to run it. There he attempts to rehabilitate the patients by letting them act out their craziest fantasies and desires.,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,former marine arrive mental asylum house remote castle run attempt rehabilitate patients let act craziest fantasy desire insane asylum beer biker superman costume male cast
Agency,A millionaire is suspected of buying an ad agency to use it as a way of brainwashing the public for his political ends.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,millionaire suspect buy ad agency use way brainwash public political end dirty politics subliminal message advertise agency base novel tamper
The Stunt Man,"A fugitive stumbles onto a movie set just when they need a new stunt man, takes the job as a way to hide out and falls for the leading lady while facing off with his manipulative director.",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,fugitive stumble onto movie set need new stunt man take job way hide fall lead lady face manipulative director run stuntman brothel female rear nudity cleavage
Melvin and Howard,"The story of hard-luck Melvin E. Dummar, who claimed to have received a will naming him an heir to the fortune of Howard Hughes.",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,story hard luck melvin e dummar claim receive name heir fortune howard hughes character name title howard hughes character woman wear g string forenames title melvin dummar character
Altered States of Plaine,A young man on the run from a mysterious government agency is desperate to find the cure for a condition that causes him to wake up at random places around the world when he falls asleep.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,young man run mysterious government agency desperate find cure condition cause wake random place around world fall asleep force drug use child jeopardy new york city imagination pay phone
Caboblanco,"In 1948, an assortment of shady characters are searching for Nazi loot, sunken off the coast of Peru.",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,assortment shady character search nazi loot sink coast peru female nudity female rear nudity female full frontal nudity female pubic hair prostitute
Chann Pardesee,"Nek gets married to the girl of his dreams, Kammo, and has a son. Later, he finds out that the child isn't his but Joginder's, who had raped Kammo.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nek get marry girl dream kammo son later find child isnt joginders rap kammo nan
La città delle donne,A businessman finds himself trapped at a hotel and threatened by women en masse.,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,businessman find trap hotel threaten women en masse female nudity train adult humor nudity surrealism
The Last Days of American Crime,"In the not-too-distant future, as a final response to terrorism and crime, the U.S. government plans to broadcast a signal making it impossible for anyone to knowingly commit unlawful acts.",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,distant future final response terrorism crime u government plan broadcast signal make impossible anyone knowingly commit unlawful act distant future heist bank robber image comics base comic
Cruising,A police detective goes undercover in the underground S&M gay subculture of New York City to catch a serial killer who is preying on gay men.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,police detective go undercover underground gay subculture new york city catch serial killer prey gay men gay cruise leather bar stab death homo
La mort en direct,"In a future where dying of illness is exceedingly rare, a terminally ill woman becomes a celebrity and a man with camera implants goes to secretly record her for a morbid TV show.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,future die illness exceedingly rare terminally ill woman become celebrity man camera implant go secretly record morbid tv show reality tv production remarriage fictional reality show near future
