Name,Description,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Thriller,War,Western,Combined
Spartacus,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,slave spartacus survive brutal train gladiator lead violent revolt decadent roman republic ambitious crassus seek gain power crush uprise gladiator slave rebellion roman republic roman empire slave revolt
Psycho,"A Phoenix secretary embezzles $40,000 from her employer&apos;s client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,phoenix secretary embezzle employer client go run check remote motel run young man domination mother motel shower stab knife money maniac
Exodus,"The State of Israel is created in 1948, resulting in war with its Arab neighbors.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,state israel create result war arab neighbor israel jewish jewish refugee base true story
Butterfield,"After the loss of his father, a 12-year-old boy struggles to find hope and through an unexpected meeting with a man on a park bench, he discovers a newfound meaning in life.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,loss father year old boy struggle find hope unexpected meet man park bench discover newfound mean life nan
From the Terrace,An ambitious young executive chooses a loveless marriage and an unfulfilling personal life in exchange for a successful Wall Street career.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,ambitious young executive choose loveless marriage unfulfilling personal life exchange successful wall street career mother son relationship wilmington delaware romantic rivalry homosexual subtext male male relationship
G.I. Blues,"Tulsa, a soldier with dreams of running his own nightclub, places a bet with his friend Dynamite that he can win the heart of an untouchable dancer...but when Dynamite is transferred, Tulsa must replace him in the bet.",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,tulsa soldier dream run nightclub place bet friend dynamite win heart untouchable dancer dynamite transfer tulsa must replace bet u soldier american europe tank crew army train psychotronic film
The Misfits,"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless o...",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,recruit group unconventional thieve renowned criminal richard pace find catch elaborate gold heist promise far reach implications life live countless fictional middle eastern country criminal heist gold heist con man
When a Woman Gets Tired of Waiting and the Flower Withers,"The shadows discover a magical place to live, the rain falls when a woman tires of waiting and the flower withers, everything is empty.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,shadow discover magical place live rain fall woman tire wait flower wither everything empty nan
Frau Warrens Gewerbe,"A very proper young woman is horrified to discover not only that her mother once worked as a prostitute in order to support her, but that she later became a whorehouse madam rather than give up the business.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,proper young woman horrify discover mother work prostitute order support later become whorehouse madam rather give business foreign language adaptation base play
The Immoral Mr. Teas,A door to door salesman of dentist&apos;s appliances encounters beautiful well-endowed nude women everywhere he goes.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,door door salesman dentist appliances encounter beautiful well endow nude women everywhere go nudie cutie sex scene nude wear eyeglasses sexploitation film nude woman
The Lady with the Dog,A desperate man with a terminally ill wife meets a beautiful but deeply troubled woman with a dog and must make a moral decision between his marriage and his most primal desires.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,desperate man terminally ill wife meet beautiful deeply trouble woman dog must make moral decision marriage primal desire dog
Hell Bent for Leather: Part 1,"Two organized crime figures are called upon to extract incriminating evidence from the basement of a home - it&apos;s been there for five years. Two years ago, a man leased the home...he too has something inside that he doesn&apos;t want to...",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,organize crime figure call upon extract incriminate evidence basement home years years ago man lease home something inside want nan
Visit to a Small Planet,The weirdest alien of the galaxy pays a visit to Earth...,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,weirdest alien galaxy pay visit earth humanoid alien talk animal talk animal unidentified fly object unidentified fly object sight
La dolce vita,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,series stories follow week life philander tabloid journalist live rome journalist celebrity party drunkenness paparazzi
Devi,"A young woman is deemed a goddess when her father-in-law, a rich feudal land-lord, has a dream envisioning her as an avatar of Kali.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,young woman deem goddess father law rich feudal land lord dream envision avatar kali reference kali hindu deity goddess dream incarnation belief
The Bramble Bush,"Innocent Kaly Dial comes to New York from the Cumberland Mountains and gets employment at a fashionable dress shop owned by a friend of her deceased mother. Peter Vernon, the brother of the owner, falls in love with her, but Kaly ...",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,innocent kaly dial come new york cumberland mountains get employment fashionable dress shop friend decease mother peter vernon brother owner fall love kaly marriage
Secuestrados,"Three hooded Eastern-European criminals burst into a home in a Madrid gated community, holding the family hostage in its own home, and forcing the father to empty his credit cards.",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,hood eastern european criminals burst home madrid gate community hold family hostage home force father empty credit card home invasion male frontal nudity male rear nudity bare chested male woman jeopardy
